    36 (Waypoint ICAO:BOGEV -16.825000 65.000000) (Waypoint ICAO:MLE20 4.113100 73.470400) 2507.3 0.203 0.1 0.0 21.6
    37 (Waypoint ICAO:TOLID -6.978600 68.918300) (Waypoint ICAO:MLE24 4.287300 73.566600) 1354.8 0.210 0.1 0.0 22.5
    38 (Waypoint ICAO:BOGEV -16.825000 65.000000) (Waypoint ICAO:MLE41 4.260400 73.530700) 2525.0 0.021 0.0 0.0 21.6
    39 (Waypoint ICAO:BOBOD -6.000000 69.685000) (Waypoint ICAO:MLE44 4.288500 73.498100) 1219.9 0.366 0.1 0.0 20.5
    40 (Waypoint ICAO:BOBOD -6.000000 69.685000) (Waypoint ICAO:MLE56 4.326500 73.514400) 1224.4 0.176 0.1 0.0 20.5
    41 (Waypoint ICAO:BOBOD -6.000000 69.685000) (Waypoint ICAO:MLE79 4.335500 73.520800) 1225.6 0.090 0.0 0.0 20.5
    42 (Waypoint ICAO:MOMMA -6.000000 72.350000) (Waypoint ICAO:BODAR 22.605300 74.221400) 3187.3 0.634 0.0 0.0 4.5
    43 (Waypoint ICAO:MOMMA -6.000000 72.350000) (Waypoint ICAO:HA 6.743900 73.166500) 1420.0 0.497 0.1 0.0 4.5
    44 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:APANO 21.584000 72.982700) 2688.3 0.355 0.0 0.0 2.7
    45 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:BBB09 19.356000 72.968000) 2440.6 0.453 0.0 0.0 2.7
    46 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:BBB10 18.938900 72.960700) 2394.2 0.594 0.0 0.1 2.7
    47 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:BBB15 18.865700 73.003300) 2386.1 0.538 0.0 0.1 2.7
    48 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:BBB16 18.813200 72.962700) 2380.2 0.526 0.0 0.1 2.7
    49 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:BBB50 19.088300 72.961600) 2410.8 0.587 0.0 0.1 2.7
    50 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:BBB90 19.324200 72.957100) 2437.0 0.730 0.0 0.1 2.7
    51 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:JJO 26.233600 73.049300) 3205.3 0.454 0.0 0.0 2.7
    52 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:SHABA 18.685300 73.003700) 2366.0 0.580 0.0 0.1 2.7
    53 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:POXOD 7.501800 72.929700) 1122.4 0.334 0.0 0.0 2.7
    54 (Waypoint ICAO:SAKMU -2.805000 70.807500) (Waypoint ICAO:MLE17 4.310400 73.522500) 846.8 0.649 0.2 0.1 21.0
    55 (Waypoint ICAO:SAKMU -2.805000 70.807500) (Waypoint ICAO:MLE27 4.121100 73.461100) 824.7 0.263 0.1 0.0 21.1
    56 (Waypoint ICAO:GAN -0.694300 73.155500) (Waypoint ICAO:BASIR 30.221900 70.521400) 3449.0 0.489 0.0 0.1 -5.2
    57 (Waypoint ICAO:RUGBI -2.592200 72.874200) (Waypoint ICAO:CADIZ 32.636700 73.116100) 3917.4 0.733 0.0 0.1 2.7
